number_of_rooms;square_meters;place_type;street;zip_city;char.1;char.2;char.3;rent;p/squarem/y
1 room ;; Apartment;Bahnhofstrasse 13; 9000 St. Gallen;Furnished room available;2 min walk to station;Close to shops & university;CHF 613.-;—
4 rooms ; 83 m² ; Apartment;Solitüdenstrasse 28; 9012 St. Gallen;Historic building charm;Scenic park-like setting;Modern amenities included;CHF 2,150.-;CHF 311 / m² / year
3 rooms ;; Apartment;Waldaustrasse 15; 9000 St. Gallen;Modern kitchen with appliances;Sunny patio for relaxation;Stylish bathroom with tiles;CHF 1,560.-;—
3 rooms ; 64 m² ; Apartment;Metzgergasse 3; 9000 St. Gallen;Historic charm meets modernity;Sunny location with ample light;Central yet quiet neighborhood;CHF 1,500.-;CHF 281 / m² / year
3 rooms ; 64 m² ; Apartment;Metzgergasse 3; 9000 St. Gallen;Historic charm meets modernity;Sunny location with ample light;Central yet quiet neighborhood;CHF 1,550.-;CHF 291 / m² / year
3 rooms ; 66 m² ; Apartment;Goliathgasse 37; 9000 St. Gallen;Stylish parquet flooring;Modern kitchen with storage;Lift access to all floors;CHF 1,731.-;CHF 315 / m² / year
6.5 rooms ; 157 m² ; Apartment;Zwinglistrasse 28; 9000 St. Gallen;Stunning city and mountain views;Spacious rooms with high ceilings;Heated veranda for year-round use;CHF 3,100.-;CHF 237 / m² / year
2.5 rooms ;; Attic flat;Storchenstrasse 2; 9008 St. Gallen;Modern kitchen with appliances;High-quality parquet flooring;Ideal central location;CHF 1,260.-;—
2.5 rooms ; 59 m² ; Apartment;Rappensteinstrasse 7; 9000 St. Gallen;Sunny quiet location;Modern kitchen features;Fiber optic internet access;CHF 1,125.-;CHF 229 / m² / year
4 rooms ; 77 m² ; Apartment;Zürcher Strasse 33; 9000 St. Gallen;Spacious bright kitchen;Elegant parquet flooring;Central location amenities;CHF 1,529.-;CHF 238 / m² / year
3 rooms ; 54 m² ; Apartment;Davidstrasse 15; 9000 St. Gallen;Modern kitchen with dishwasher;Renovated stylish bathroom;Wooden flooring throughout;CHF 1,092.-;CHF 243 / m² / year
3 rooms ; 65 m² ; Apartment;Haggenstrasse 8; 9014 St. Gallen;Modern kitchen with dishwasher;Stylish renovated bathroom;Cozy balcony for relaxation;CHF 1,400.-;CHF 258 / m² / year
4 rooms ; 89 m² ; Apartment;Neptunstrasse 3; 9000 St. Gallen;Bright high-ceiling rooms;New kitchen with balcony;Modern bathroom amenities;CHF 1,660.-;CHF 224 / m² / year
3 rooms ; 60 m² ; Apartment;Steingrüeblistrasse 44; 9000 St. Gallen;Elevated location in St. Gallen;Modern kitchen with dishwasher;Cozy balcony for relaxation;CHF 1,400.-;CHF 280 / m² / year
3.5 rooms ; 74 m² ; Apartment;Singenbergstrasse 6; 9000 St. Gallen;Spacious modern bathroom;Bright living area;Stylish kitchen with granite;CHF 1,595.-;CHF 259 / m² / year
5 rooms ; 121 m² ; Apartment;Zwinglistrasse 41; 9000 St. Gallen;Stunning city and mountain views;High ceilings with stucco details;Private garden with pavilion;CHF 2,830.-;CHF 281 / m² / year
2.5 rooms ; 73 m² ; Apartment;Oberstrasse 119; 9000 St. Gallen;Bright and spacious layout;Quiet balcony with sun;Modern kitchen and bathroom;CHF 1,830.-;CHF 301 / m² / year
4.5 rooms ;; Apartment;Föhrenstrasse 5a; 9000 St. Gallen;Freshly renovated interior;Unique Jugendstil architecture;Cozy tiled stove available;CHF 950.-;—
1.5 rooms ; 34 m² ; Apartment;Scheibenackerstrasse 16; 9000 St. Gallen;Private washer & dryer;Spacious kitchen area;Quiet residential location;CHF 990.-;CHF 349 / m² / year
3 rooms ;; Apartment;Ulmenstrasse 5; 9000 St. Gallen;Ideal for shared living;Modern kitchen amenities;Convenient in-unit washer;CHF 1,240.-;—
1 room ; 9 m² ; Apartment;Zwinglistrasse 15; 9000 St. Gallen;Fully furnished rooms;Shared kitchens & lounges;Central location near university;CHF 530.-;CHF 707 / m² / year
2 rooms ;; Apartment;Ruhsitzstrasse 8; 9000 St. Gallen;Exposed beams and charm;Bright and airy spaces;Cozy fireplace included;CHF 1,220.-;—
4.5 rooms ; 110 m² ; Apartment;Flurhofstrasse 12; 9000 St. Gallen;Spacious south-facing balcony;High-quality kitchen finishes;Direct elevator access from garage;CHF 2,400.-;CHF 262 / m² / year
1 room ; 15 m² ; Apartment;Lindenstrasse 69; 9000 St. Gallen;Bright room with balcony;Private bathroom nearby;Fully equipped kitchen;CHF 963.-;CHF 770 / m² / year
1 room ; 28 m² ; Apartment;Tigerbergstrasse 11; 9000 St. Gallen;Sunny and bright spaces;Private balcony retreat;Beautiful city views;CHF 1,020.-;CHF 437 / m² / year
3 rooms ; 70 m² ; Apartment;Flurhofstrasse 125; 9000 St. Gallen;New kitchen installed;Large living room with balcony;Convenient storage options;CHF 1,015.-;CHF 174 / m² / year
4 rooms ; 72 m² ; Apartment;Flurhofstrasse 125; 9000 St. Gallen;Beautiful kitchen;Large living room;Balcony access;CHF 1,020.-;CHF 170 / m² / year
2.5 rooms ; 44 m² ; Apartment;Felsenstrasse 78; 9000 St. Gallen;Shared rooftop terrace;Modern kitchen amenities;Close to public transport;CHF 1,150.-;CHF 314 / m² / year
2.5 rooms ; 66 m² ; Apartment;Falkensteinstrasse 15; 9000 St. Gallen;Bright living area;Private laundry tower;Wooden parquet flooring;CHF 1,620.-;CHF 295 / m² / year
2.5 rooms ; 59 m² ; Apartment;Ilgenstrasse 24; 9000 St. Gallen;Modern kitchen with dishwasher;Bright bathroom with shower;Spacious rooms with parquet;CHF 1,180.-;CHF 240 / m² / year
1.5 rooms ; 30 m² ; Apartment;Brunnenbergstrasse 10; 9000 St. Gallen;Renovated kitchen & bath;Cozy balcony for relaxation;Prime location near transit;CHF 1,040.-;CHF 416 / m² / year
4.5 rooms ; 121 m² ; Apartment;Vogelherdstrasse 19; 9016 St. Gallen;Quiet family-friendly area;Direct access to garage;Spacious open kitchen;CHF 2,291.-;CHF 227 / m² / year
3.5 rooms ; 90 m² ; Apartment;Metzgergasse 22; 9000 St. Gallen;Modern open kitchen;High-quality parquet floors;Quiet balcony overlooking courtyard;CHF 2,500.-;CHF 333 / m² / year
4.5 rooms ; 82 m² ; Apartment;Teufener Strasse 190; 9012 St. Gallen;Bright rooms with parquet;Modern kitchen with balcony;Eco-friendly heating system;CHF 1,450.-;CHF 212 / m² / year
1 room ; 30 m² ; Apartment;St. Georgen-Strasse 36; 9000 St. Gallen;Cozy Altbau charm;Close to Mühlegg-Weihers;Great local amenities;CHF 790.-;CHF 316 / m² / year
3.5 rooms ;; Apartment;Fuchsenstrasse 1; 9016 St. Gallen;Sunny balcony for relaxation;Timeless kitchen with oven;Quiet location near shopping;CHF 1,290.-;—
3.5 rooms ; 80 m² ; Furnished apartment;Wildeggstrasse 16; 9000 St. Gallen;Spacious living room;Furnished balcony;Modern bathroom amenities;CHF 1,950.-;CHF 293 / m² / year
4.5 rooms ; 82 m² ; Apartment;Harfenbergstrasse 24; 9000 St. Gallen;Quiet central location;South-west facing balcony;Ensuite shower in master;CHF 1,589.-;CHF 233 / m² / year
2 rooms ; 52 m² ; Apartment;Iddastrasse 41; 9008 St. Gallen;Modern kitchen amenities;Sunny balcony with views;Spacious and practical layout;CHF 1,310.-;CHF 302 / m² / year
1 room ; 22 m² ; Apartment;Torstrasse 22; 9000 St. Gallen;Stylish shared kitchen;Lift access to all floors;Close to public transport;CHF 875.-;CHF 477 / m² / year
3.5 rooms ; 92 m² ; Apartment;Schibistrasse 5; 9000 St. Gallen;Spacious living room;Modern kitchen;Large balcony;CHF 2,130.-;CHF 278 / m² / year
3 rooms ; 50 m² ; Apartment;Kräzernstrasse 75; 9015 St. Gallen;Spacious, bright rooms;Modern kitchen;Balcony access;CHF 1,300.-;CHF 312 / m² / year
2 rooms ;; Apartment;Schorenstrasse 73; 9000 St. Gallen;New modern kitchen;Designer bathroom with rain shower;Balcony with stunning views;CHF 1,320.-;—
2.5 rooms ; 39 m² ; Apartment;Spyristrasse 3; 9008 St. Gallen;Spacious open layout;Modern kitchen design;Lift access available;CHF 1,110.-;CHF 342 / m² / year
4 rooms ;; Apartment;Teufener Strasse 33; 9000 St. Gallen;Bright kitchen with balcony;Cozy second balcony view;Spacious rooms with parquet;CHF 1,410.-;—
3.5 rooms ; 64 m² ; Apartment;Zürcher Strasse 267a; 9014 St. Gallen;Bright open living space;Private garden seating area;Convenient public transport access;CHF 1,550.-;CHF 291 / m² / year
1 room ; 20 m² ; Furnished apartment;Brühlgasse 23; 9000 St. Gallen;Shared terrace for gatherings;Private bathroom in each room;Free Wi-Fi for all tenants;CHF 830.-;CHF 498 / m² / year
4 rooms ;; Apartment;Lämmlisbrunnenstrasse 43; 9000 St. Gallen;Elegant parquet flooring;Separate kitchen with storage;Close to city center;CHF 1,850.-;—
4.5 rooms ;; Apartment;Rehetobelstrasse 5; 9000 St. Gallen;Elegant parquet floors;Bright kitchen with dishwasher;Sunny balcony for relaxation;CHF 1,680.-;—
2.5 rooms ; 76 m² ; Apartment;;9000 St. Gallen;Stylish two-level layout;Modern color concept;In-unit laundry facilities;CHF 1,930.-;CHF 305 / m² / year
1 room ; 26 m² ; Apartment;Treuackerstrasse 28; 9000 St. Gallen;Gentle renovation last year;Original built-in wardrobe;Separate kitchen nook;CHF 900.-;CHF 415 / m² / year
4 rooms ;; Apartment;Hirtenstrasse 6; 9008 St. Gallen;Stunning views of Säntis;Quiet green family area;Pet-friendly living space;CHF 2,110.-;—
2.5 rooms ; 59 m² ; Apartment;Lindenstrasse 155; 9016 St. Gallen;Modern kitchen with granite;In-unit washer and dryer;Perfect transport connections;CHF 1,690.-;CHF 344 / m² / year
1 room ;; Apartment;Metzgergasse 10; 9000 St. Gallen;Bright living spaces;Bathtub in bathroom;Quiet city-center location;CHF 870.-;—
4 rooms ; 85 m² ; Apartment;Goldbrunnenstrasse 30; 9000 St. Gallen;Historic building charm;Private balcony retreat;Convenient public transport;CHF 1,750.-;CHF 247 / m² / year
2.5 rooms ; 46 m² ; Apartment;Rorschacher Strasse 216; 9000 St. Gallen;Modern kitchen with granite;Cozy balcony for relaxation;High-quality parquet flooring;CHF 1,345.-;CHF 351 / m² / year
4.5 rooms ;; Apartment;Engelgasse 13; 9000 St. Gallen;Modern kitchen with appliances;Stylish parquet flooring;Private washing machine connection;CHF 1,830.-;—
3.5 rooms ; 71 m² ; Apartment;Splügenstrasse 9; 9008 St. Gallen;Renovated kitchen with modern appliances;Bright parquet flooring throughout;Convenient balcony for relaxation;CHF 1,390.-;CHF 235 / m² / year
4.5 rooms ; 112 m² ; Stepped apartment;Felsenstrasse 63; 9000 St. Gallen;Stunning city views;Modern open kitchen;Private laundry in basement;CHF 3,500.-;CHF 375 / m² / year
4 rooms ; 100 m² ; Loft;Kolosseumstrasse 12b; 9008 St. Gallen;Modern kitchen with smart tech;Private garden seating area;Unique industrial charm;CHF 2,365.-;CHF 284 / m² / year
3 rooms ; 64 m² ; Apartment;Kolumbanstrasse 14; 9008 St. Gallen;Bright kitchen with dishwasher;Modern bathroom with tub;Balcony with great views;CHF 1,485.-;CHF 278 / m² / year
27 rooms ;; Apartment;Teufener Strasse 170; 9012 St. Gallen;Ideal for students;Private kitchen & bath;Balcony with a view;CHF 700.-;—
4.5 rooms ; 98 m² ; Apartment;Rorschacher Strasse 125; 9000 St. Gallen;Spacious balcony for relaxation;Modern kitchen with storage;Pet-friendly living space;CHF 1,820.-;CHF 223 / m² / year
3.5 rooms ; 92 m² ; Apartment;Neugasse 51; 9000 St. Gallen;Spacious bright layout;Modern kitchen amenities;Private terrace oasis;CHF 2,490.-;CHF 325 / m² / year
3.5 rooms ;; Apartment;Langgasse 23; 9008 St. Gallen;Modern fitted kitchen;Spacious bathtub;Wooden parquet flooring;CHF 1,500.-;—
4 rooms ; 90 m² ; Apartment;Oberstrasse 87; 9000 St. Gallen;Two sunny balconies;Modern kitchen with space;Parking in heated garage;CHF 1,675.-;CHF 223 / m² / year
3.5 rooms ; 66 m² ; Apartment;Kolosseumstrasse 6; 9008 St. Gallen;Near St. Fiden station;Small park in front;Convenient shopping nearby;CHF 1,160.-;CHF 211 / m² / year
2.5 rooms ; 54 m² ; Apartment;Zürcher Strasse 6; 9000 St. Gallen;Spacious living area;Private balcony space;Reserved parking included;CHF 1,430.-;CHF 318 / m² / year
3 rooms ;; Apartment;;9000 St. Gallen;Prime location with transport;Quiet yet central area;Ideal for singles or couples;CHF 1,340.-;—
2.5 rooms ; 62 m² ; Apartment;Langgasse 79; 9008 St. Gallen;Fully furnished & equipped;Prime location near university;Parking spot included;CHF 1,040.-;CHF 201 / m² / year
2.5 rooms ; 42 m² ; Apartment;Ruhsitzstrasse 31; 9000 St. Gallen;Modern kitchen design;Stylish tiled flooring;Close to public transport;CHF 1,250.-;CHF 357 / m² / year
4.5 rooms ; 116 m² ; Apartment;Rosenheimstrasse 1; 9008 St. Gallen;Bright living area;Private washing machine;Ideal for HSG students;CHF 1,710.-;CHF 177 / m² / year
2 rooms ; 50 m² ; Apartment;;9015 St. Gallen;Bright, quiet living space;Modern heating system;Close to public transport;CHF 880.-;CHF 211 / m² / year
4.5 rooms ; 88 m² ; Apartment;Langgasse 93; 9008 St. Gallen;Beautiful herringbone parquet;In-unit washer and dryer;Modern kitchen with ceramic;CHF 1,647.-;CHF 225 / m² / year
3.5 rooms ;; Apartment;Zürcher Strasse 102; 9000 St. Gallen;Sunny living spaces;Great balcony for sun;Easy-clean bathroom;CHF 1,290.-;—
3.5 rooms ; 60 m² ; Apartment;Harfenbergstrasse; 9000 St. Gallen;Spacious living room;Central location;Well-equipped kitchen;CHF 1,200.-;CHF 240 / m² / year
3 rooms ; 68 m² ; Apartment;;9000 St. Gallen;Charming old town location;Luxurious open-plan kitchen;Shared terrace with city views;CHF 2,135.-;CHF 377 / m² / year
4.5 rooms ; 96 m² ; Apartment;Im Grund 16; 9012 St. Gallen;Modern kitchen with quality appliances;Cozy living room with fireplace;Private garden seating area;CHF 2,290.-;CHF 286 / m² / year
2 rooms ; 35 m² ; Apartment;Zürcher Strasse 51; 9000 St. Gallen;Renovated historic building;Equipped laundry room;Central location near bus stop;CHF 925.-;CHF 317 / m² / year
1.5 rooms ; 43 m² ; Apartment;Storchenstrasse 1; 9008 St. Gallen;Quiet residential area;Open living space;Fiber optic internet access;CHF 1,165.-;CHF 325 / m² / year
3.5 rooms ; 80 m² ; Apartment;Storchenstrasse 1; 9008 St. Gallen;Quiet balcony retreat;Green view bedroom;Fiber optic internet ready;CHF 1,640.-;CHF 246 / m² / year
1 room ;; Apartment;Spisergasse 43; 9000 St. Gallen;Modern bathroom design;Stylish designer furnishings;Lift access to 4th floor;CHF 899.-;—
2 rooms ; 23 m² ; Studio;Rosenbergstrasse 55; 9000 St. Gallen;Fully equipped kitchen;All utilities included;5 min walk to city center;CHF 900.-;CHF 470 / m² / year
5.5 rooms ; 112 m² ; Apartment;Peter-Und-Paul-Strasse 30; 9010 St. Gallen;Spacious balcony with views;Modern kitchen and bath;Optional heated attic room;CHF 2,540.-;CHF 272 / m² / year
3.5 rooms ;; Apartment;Schreinerstrasse; 9000 St. Gallen;Unconventional layout;Small balcony;Prime location near Red Square;CHF 1,560.-;—
4.5 rooms ;; Penthouse;Klosterweidlistrasse; 9010 St. Gallen;Quiet central location;Close to public transport;Nearby shopping and university;CHF 2,550.-;—
3.5 rooms ; 80 m² ; Apartment;Gerbestrasse 15a; 9000 St. Gallen;Bright, spacious living room;Modern kitchen with storage;Covered balcony with views;CHF 1,530.-;CHF 230 / m² / year
6.5 rooms ;; Penthouse;Tellstrasse 18; 9000 St. Gallen;Stunning views from the hill;Large garden for relaxation;Fully furnished, move-in ready;CHF 5,500.-;—
2 rooms ; 50 m² ; Apartment;;9015 St. Gallen;Bright, quiet space;Modern parquet flooring;Convenient laundry access;CHF 1,020.-;CHF 245 / m² / year
1 room ; 14 m² ; Furnished apartment;Tellstrasse 18; 9000 St. Gallen;Fully furnished & equipped;Large garden for relaxation;Parking available on request;CHF 1,230.-;CHF 1,054 / m² / year
1 room ; 24 m² ; Apartment;;9000 St. Gallen;Bright living space;Private bathroom;Shared kitchen access;CHF 880.-;CHF 440 / m² / year
92 m² ;; Studio;Marktgasse; 9000 St. Gallen;Elegant parquet flooring;Equipped kitchenette;Central location with lift;CHF 1,950.-;CHF 254 / m² / year
2.5 rooms ; 40 m² ; Apartment;Langgasse 23; 9008 St. Gallen;Separate kitchen and living room;Quiet location, not street-facing;Close to shops and public transport;CHF 1,290.-;CHF 387 / m² / year
4.5 rooms ; 98 m² ; Apartment;;9000 St. Gallen;Spacious sunlit balcony;Large windows for brightness;Prime location near park;CHF 1,990.-;CHF 244 / m² / year
1.5 rooms ;; Apartment;;9000 St. Gallen;All utilities included;Fully equipped kitchen;Access to laundry room;CHF 1,050.-;—
3.5 rooms ;; Apartment;;9000 St. Gallen;15 min to university;Dishwasher included;Shared laundry facilities;CHF 1,480.-;—
1 room ; 20 m² ; Apartment;Rotachstrasse 6; 9000 St. Gallen;3 min to city center;Family-friendly street;Lovely neighborhood gardens;CHF 990.-;CHF 594 / m² / year
5 rooms ; 117 m² ; Apartment;Zürcher Strasse 233; 9014 St. Gallen;Bright kitchen with table;Sunny terrace for sharing;Close to shopping center;CHF 1,790.-;CHF 184 / m² / year
4.5 rooms ; 130 m² ; Apartment;;9000 St. Gallen;Stunning rooftop terrace;Fully equipped kitchen;Convenient bus access;CHF 2,055.-;CHF 190 / m² / year
2 rooms ; 130 m² ; Apartment;Langgasse 110; 9008 St. Gallen;Stunning city views;50 m² rooftop terrace;Bright, spacious living area;CHF 1,040.-;CHF 96 / m² / year
4 rooms ; 83 m² ; Apartment;;9010 St. Gallen;Perfect for exchange students;Includes all household essentials;Modern kitchen with dishwasher;CHF 1,990.-;CHF 288 / m² / year
4 rooms ;; Apartment;Parkstrasse 16; 9000 St. Gallen;Fully furnished rooms;Prime location near city;Short walk to university;CHF 1,550.-;—
4.5 rooms ; 114 m² ; Apartment;Furglerstrasse; 9000 St. Gallen;Stunning views from loggia;High ceilings and parquet floors;Minergie standard for comfort;CHF 2,375.-;CHF 250 / m² / year
3.5 rooms ; 75 m² ; Apartment;Bernhardswiesstrasse 17; 9014 St. Gallen;Sunny balcony for relaxation;Child-friendly neighborhood;Stylish parquet flooring;CHF 1,440.-;CHF 230 / m² / year
2.5 rooms ;; Apartment;Rabenstrasse 6; 9008 St. Gallen;Centrally located in St. Gallen;Fully equipped kitchen;In-unit laundry facilities;CHF 1,160.-;—
3 rooms ;; Apartment;Lindenstrasse 29; 9000 St. Gallen;Bright spacious living room;Modern open kitchen;Quiet family-friendly area;CHF 1,590.-;—
1 room ;; Apartment;;9000 St. Gallen;Bright living space;Modern kitchen;Close to public transport;CHF 1,099.-;—
4 rooms ;; Apartment;Singenbergstrasse 12; 9000 St. Gallen;Bright living room;Small balcony space;Friendly roommate David;CHF 800.-;—
5 rooms ; 100 m² ; Apartment;Aeusserer Sonnenweg 3; 9000 St. Gallen;Bright and airy spaces;Central location;Classic old-town charm;CHF 1,890.-;CHF 227 / m² / year
1 room ; 25 m² ; Apartment;Lämmlisbrunnenstrasse 50; 9000 St. Gallen;Bright large windows;Fully furnished space;Close to public transport;CHF 950.-;CHF 456 / m² / year
2.5 rooms ; 62 m² ; Apartment;Gartenstrasse; 9000 St. Gallen;Modern kitchen with balcony;Bright living area;Close to public transport;CHF 1,495.-;CHF 289 / m² / year
2.5 rooms ; 54 m² ; Apartment;Gartenstrasse 15; 9000 St. Gallen;Light-filled rooms;Modern kitchen amenities;Convenient lift access;CHF 1,300.-;CHF 289 / m² / year
3 rooms ; 71 m² ; Apartment;Zwinglistrasse 27; 9000 St. Gallen;New kitchen with dishwasher;In-unit washer and dryer;Close to HSG and station;CHF 2,070.-;CHF 350 / m² / year
2.5 rooms ; 75 m² ; Apartment;Winkelriedstrasse 36; 9000 St. Gallen;Bright with city views;Open layout with terrace;Private laundry in bathroom;CHF 1,690.-;CHF 270 / m² / year
4.5 rooms ;; Apartment;Redingstrasse 3; 9000 St. Gallen;Stunning city views;Modern design by pros;Mini office setup included;CHF 3,990.-;—
1 room ; 23 m² ; Apartment;Spisergasse 43; 9000 St. Gallen;Central location, 2-3 min walk;Uniquely furnished by designer;Modern renovated bathroom;CHF 899.-;CHF 469 / m² / year
3.5 rooms ; 85 m² ; Apartment;Otmarstrasse 19; 9000 St. Gallen;Balcony with evening sun;Directly by bus stop;Nearby parks for relaxation;CHF 1,550.-;CHF 219 / m² / year
2.5 rooms ; 60 m² ; Apartment;Felsenstrasse 84; 9000 St. Gallen;Sunny balcony for relaxation;In-apartment washer/dryer;Fully equipped kitchen included;CHF 1,600.-;CHF 320 / m² / year
3.5 rooms ;; Apartment;Sankt Jakob-Strasse 64; 9000 St. Gallen;Ideal for students;Close to Olma Messe;10 min walk to university;CHF 1,600.-;—
3 rooms ;; Apartment;Tempelackerstrasse 20a; 9000 St. Gallen;Freshly renovated kitchen;Shared garden space;Easy access to transport;CHF 1,530.-;—
1 room ;; Apartment;;9000 St. Gallen;Bright open floor plan;Convenient shared laundry;Steps from shopping & transport;CHF 899.-;—
4.5 rooms ;; Apartment;Multergasse 6; 9000 St. Gallen;Renovated historic charm;Lift access to the apartment;Quiet central location;CHF 2,750.-;—
1 room ; 23 m² ; Apartment;Spisergasse 43; 9000 St. Gallen;Central location, 2-3 min walk;Uniquely furnished with style;Includes all furniture and decor;CHF 899.-;CHF 469 / m² / year
4 rooms ; 70 m² ; Apartment;Rorschacher Strasse 196; 9000 St. Gallen;Bright bathroom with window;Modern kitchen with ceramic;Garage space available;CHF 1,400.-;CHF 240 / m² / year
1.5 rooms ; 45 m² ; Apartment;Brauerstrasse 23; 9000 St. Gallen;Stunning mountain views;Cozy fireplace ambiance;Spacious outdoor terrace;CHF 1,285.-;CHF 343 / m² / year
4.5 rooms ; 88 m² ; Apartment;Hinterberg 18; 9014 St. Gallen;West-facing balcony;Separate bath and WC;Nearby playground area;CHF 1,175.-;CHF 160 / m² / year
2.5 rooms ; 40 m² ; Furnished apartment;Lindenstrasse 66; 9000 St. Gallen;Fully furnished living space;Balcony with great views;Close to public transport;CHF 1,720.-;CHF 516 / m² / year
3.5 rooms ; 87 m² ; Apartment;Kunklerstrasse 1; 9015 St. Gallen;Includes underground parking;Available from July 2025;Affordable monthly rent;CHF 1,730.-;CHF 239 / m² / year
3.5 rooms ;; Apartment;;9014 St. Gallen;Central location with transport;Balcony for outdoor relaxation;Pets allowed upon request;CHF 1,387.-;—
2.5 rooms ; 70 m² ; Apartment;Neugasse 36; 9000 St. Gallen;Central location, 1 min walk;Private attic for storage;Balcony with city views;CHF 1,156.-;CHF 198 / m² / year
2.5 rooms ; 48 m² ; Apartment;Metallstrasse 12; 9000 St. Gallen;Modern kitchen with dishwasher;Elegant bathroom with rain shower;High-quality parquet flooring;CHF 1,350.-;CHF 338 / m² / year
2.5 rooms ; 49 m² ; Attic flat;Metallstrasse 12; 9000 St. Gallen;Stylish modern kitchen;Elegant bathroom with rain shower;High-quality parquet flooring;CHF 1,300.-;CHF 318 / m² / year
1 room ; 15 m² ; Apartment;Wassergasse 47; 9000 St. Gallen;Modern kitchen with granite;Own washing machine connection;Bright, newly renovated space;CHF 900.-;CHF 720 / m² / year
2.5 rooms ; 67 m² ; Apartment;Straubenzellstrasse 20; 9014 St. Gallen;Open kitchen with storage;Cozy balcony for relaxation;Playground and green spaces;CHF 1,590.-;CHF 285 / m² / year
3.5 rooms ; 83 m² ; Apartment;Sankt Georgenstrasse 201; 9011 St. Gallen;Modern kitchen with stone tops;Balcony with city views;Close to public transport;CHF 1,490.-;CHF 215 / m² / year
2.5 rooms ;; Apartment;Rosenbergstrasse; 9000 St. Gallen;Stylish equipped kitchen;Sunny private balcony;Elegant bathroom with shower;CHF 1,405.-;—
4 rooms ;; Apartment;Rittmeyerstrasse; 9014 St. Gallen;Open living area with balcony;Modern kitchen with appliances;Shared garden and guest room;CHF 1,590.-;—
3.5 rooms ; 75 m² ; Apartment;Lindenstrasse 116; 9000 St. Gallen;Sunny and quiet location;Fiber optic internet access;Close to public transport;CHF 1,590.-;CHF 254 / m² / year
1.5 rooms ; 25 m² ; Apartment;Mühlensteg 10a; 9000 St. Gallen;Central yet tranquil location;All utilities included;Close to train station;CHF 1,170.-;CHF 562 / m² / year
2.5 rooms ; 50 m² ; Apartment;Linsebühlstrasse 100; 9000 St. Gallen;Fully furnished for comfort;Quiet despite central location;Short walk to amenities;CHF 1,200.-;CHF 288 / m² / year
4.5 rooms ;; Furnished apartment;Unterstrasse 59; 9000 St. Gallen;Ready to move in;Fast Wi-Fi included;Quiet street location;CHF 2,400.-;—
3.5 rooms ; 115 m² ; Apartment;Buchwaldstrasse 3; 9008 St. Gallen;Stunning gallery space;Bright and airy design;Scenic rooftop views;CHF 1,580.-;CHF 165 / m² / year
3.5 rooms ; 71 m² ; Apartment;Distelistrasse 8; 9014 St. Gallen;Bright oak parquet floors;Modern kitchen with dishwasher;Private laundry on same floor;CHF 1,280.-;CHF 216 / m² / year
3 rooms ; 65 m² ; Apartment;Langgasse 61; 9008 St. Gallen;South-facing balcony;Bright kitchen and bath;Lift access available;CHF 1,370.-;CHF 253 / m² / year
1.5 rooms ; 27 m² ; Apartment;Unterstrasse 52; 9000 St. Gallen;Fully furnished and ready;Prime location near station;Smart living technology;CHF 1,195.-;CHF 531 / m² / year
3 rooms ; 77 m² ; Apartment;;9010 St. Gallen;Quiet location near pool;Direct access to garden;Cozy fire pit area;CHF 1,730.-;CHF 270 / m² / year
3.5 rooms ; 77 m² ; Apartment;Lehnstrasse 10; 9014 St. Gallen;Bright and spacious layout;Convenient high ground floor;Ideal location in St. Gallen;CHF 1,390.-;CHF 217 / m² / year
3.5 rooms ; 77 m² ; Apartment;Lehnstrasse 10; 9014 St. Gallen;Bright and airy space;Quiet neighborhood;Close to public transport;CHF 1,230.-;CHF 192 / m² / year
2.5 rooms ;; Apartment;Lukasstrasse 4; 9008 St. Gallen;Rustic charm throughout;Quiet residential area;Close to public transport;CHF 1,050.-;—
3 rooms ;; Apartment;Flurhofstrasse; 9000 St. Gallen;Spacious living area;Balcony with view;Shared laundry facilities;CHF 1,340.-;—
1.5 rooms ; 52 m² ; Apartment;Oberstrasse 106; 9000 St. Gallen;High-quality flooring;Bright, spacious rooms;Modern kitchen design;CHF 1,190.-;CHF 275 / m² / year
3.5 rooms ; 74 m² ; Apartment;Rorschacher Strasse 231; 9016 St. Gallen;Bright and spacious entry;Modern tiled kitchen;Stylish laminate flooring;CHF 1,320.-;CHF 214 / m² / year
5.5 rooms ; 120 m² ; Duplex;Zürcher Strasse 438; 9015 St. Gallen;Modern kitchen with dishwasher;Private laundry in apartment;Central location with transport;CHF 2,030.-;CHF 203 / m² / year
1 room ; 26 m² ; Apartment;Volksbadstrasse 8; 9000 St. Gallen;Modern kitchen design;Cozy balcony space;Close to public transport;CHF 900.-;CHF 415 / m² / year
2.5 rooms ; 42 m² ; Apartment;Ruhsitzstrasse 31; 9000 St. Gallen;Modern kitchen design;Quiet location near city;Easy access to public transport;CHF 1,090.-;CHF 311 / m² / year
4 rooms ; 90 m² ; Apartment;Oberstrasse 165; 9000 St. Gallen;Freshly renovated in 2025;Private balcony with views;Family-friendly location;CHF 1,370.-;CHF 183 / m² / year
2.5 rooms ;; Apartment;Teufener Strasse; 9000 St. Gallen;Bright with natural light;Open kitchen for cooking;Central location with access;CHF 1,450.-;—
4 rooms ; 70 m² ; Apartment;Mühlenstrasse 12; 9000 St. Gallen;Spacious and unique layout;Idyllic central location;Quiet with river views;CHF 1,290.-;CHF 221 / m² / year
